Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
B033;DrkN;05:40:59.0;-02:27:30;Ori;6.00;4.00;90;;;;;;;;;;;;;;;;;;;;;Horsehead Nebula;;;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|PosAng:2
C009;HII;22:57:54.0;+62:31:06;Cep;50.00;30.00;;;;;;;;;;;;;;;;;;;;;LBN 529,SH 2-155;Cave Nebula;;;Type:2|RA:2|Dec:2|Const:99|MajAx:9|MinAx:9
C014;*Ass;02:20:42.0;+57:08:15;Per;50.00;50.00;;;;;;;;;;;;;;;;;;;;;;Double Cluster;;;Type:99|RA:99|Dec:99|Const:99|MajAx:99|MinAx:99
C041;OCl;04:26:54.0;+15:52:00;Tau;329.00;;;;;;;;;;;104.920;-28.000;40;0.000133;;;;;;;;Cl 050,Mel 025;Hyades;;;Type:2|RA:2|Dec:2|Const:99|MajAx:11|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
C099;DrkN;12:31:19.0;-63:44:36;Cru;;;;;;;;;;;;;;;;;;;;;;;;Coalsack Nebula;;;Type:2|RA:2|Dec:2|Const:99
Cl399;*Ass;19:25:24.0;+20:11:00;Vul;70.00;;;3.93;3.60;;;;;;;;;;;;;;;;;;;Brocchi's Cluster;;;Type:2|RA:2|Dec:2|Const:99|MajAx:99|B-Mag:2|V-Mag:2
ESO056-115;G;05:23:34.5;-69:45:22;Dor;646.00;550.00;170;0.80;0.29;;;;23.45;SBm;;1.910;0.229;262;0.000875;;;;;;;;ESO-LV 0561150,IRAS 05240-6948,PGC 017223;Large Magellanic Cloud;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO097-013;G;14:13:09.95;-65:20:21.2;Cir;8.71;4.27;37;12.02;10.56;6.24;5.35;4.98;24.94;Sb;;;;434;0.001449;;;;;;;;2MASXJ 14130990-6520204,ESO-LV 0970130, IRAS 14092-6506,PGC 050779;Circinus Galaxy;Within 10 degrees of the galactic plane.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
ESO107-004;G;21:03:29.62;-67:10:52.8;Pav;2.14;1.74;135;12.89;11.97;10.07;9.41;9.11;23.38;E;0.2301;-0.089;0.065;3166;0.010617;;;;;;;;2MASX J21032958-6710528,ESO-LV 1070040,PGC 066000;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
ESO121-006;G;06:07:29.86;-61:48:27.3;Pic;4.17;0.79;42;10.57;12.6;10.12;9.37;8.98;21.11;Sc;;;;1203;0.004020;;;;;;;;2MASX J06072985-6148272,ESO-LV 1210060,IRAS 06070-6147,PGC 018437;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
